Name,Country,INN,YearSum,Id
Republican,Ukraine,6268150940403,710827,803
break,USA,5157005837868,466133,804
garden,Poland,1889631327916,199456,805
democratic,German,1977856181035,741729,806
growth,Ukraine,9581239101296,746354,807
when,Ukraine,5203625959448,167333,808
their,USA,2668931630369,667177,809
red,Latvia,9842470340889,620600,810
wonder,Ukraine,2518153747519,713365,811
develop,Russia,4234907363881,250268,812
old,Ukraine,8870869414877,289787,813
pretty,USA,4907346759846,384761,814
moment,USA,8409172907103,781291,815
weight,Poland,1836199638636,890410,816
window,Latvia,2234287409497,982866,817
quickly,Ukraine,9886648885160,817236,818
American,France,8719474430026,272210,819
article,USA,5232884606164,140454,820
politics,Poland,3899772552649,533081,821
fine,Ukraine,3231168115278,827165,822
identify,Ukraine,9640090607958,550326,823
sell,Ukraine,8765687708535,258176,824
whole,Latvia,8192978372217,186018,825
born,France,4982699121033,339836,826
focus,Poland,7293144218579,215211,827
through,Poland,2446135995483,565815,828
until,USA,5224525183122,636362,829
peace,Latvia,1078389665614,211860,830
late,Russia,8999055709658,683648,831
hear,Latvia,2860127225987,323542,832
remain,Ukraine,8124943712277,576110,833
point,Ukraine,4130968368157,248836,834
mind,Russia,6517457360903,437334,835
offer,Ukraine,3437920364048,551302,836
ok,Latvia,5123702102604,838564,837
thank,Russia,3398450800777,761457,838
attorney,Poland,5942557723508,259198,839
spend,France,7818602998675,757106,840
force,USA,7171650886792,764566,841
practice,France,8983684789353,555598,842
return,German,8886916118781,205083,843
individual,France,9272351081491,514878,844
thing,France,2579210574512,990260,845
include,USA,8491862341078,365291,846
keep,Latvia,3221399302027,985915,847
here,Ukraine,3796774236146,238570,848
political,Russia,6581979503886,567804,849
available,Ukraine,4398537786135,861261,850
maintain,France,2451610062146,453903,851
admit,Ukraine,3790153530926,548422,852
relationship,France,4486115650417,145748,853
ok,Poland,8347566615535,794871,854
itself,France,2938724741867,931850,855
wide,Poland,8411390846692,761544,856
chance,Latvia,9906679501686,284295,857
chance,German,3091897279157,200751,858
high,Ukraine,9401899393615,136249,859
many,Ukraine,9813216792317,967164,860
control,German,5441834370468,942160,861
three,Latvia,1212868364732,957894,862
election,Russia,6162088160437,168435,863
song,Russia,1338699750882,383311,864
decade,Ukraine,6901060119559,586748,865
house,Ukraine,9364554395091,464157,866
wife,Poland,8131467316272,696480,867
meet,Ukraine,7538309010594,426047,868
interest,Latvia,9806326246547,490688,869
natural,Latvia,9496918116184,229954,870
church,France,7289232878311,143451,871
important,France,3391516521488,153267,872
summer,Russia,8530324137623,575054,873
audience,Russia,5519084750426,787670,874
part,USA,5754110580503,426944,875
almost,Russia,4441625377011,560302,876
international,France,3033636394789,648624,877
rock,German,4871830223482,302883,878
officer,France,1301742571806,205735,879
its,Poland,4461700740491,352881,880
hope,Russia,5515287440274,816431,881
area,Russia,5678415763751,430773,882
social,Latvia,1666870345453,712258,883
enjoy,USA,7014051434838,311213,884
PM,Russia,9251657645606,923230,885
position,Latvia,2705092000995,643531,886
letter,Russia,9449896569901,369844,887
speech,Russia,3587000579703,285806,888
consider,Poland,3976219279129,837497,889
show,Ukraine,1259218539973,415678,890
common,Russia,6865487990173,667278,891
and,USA,7959698856210,495572,892
PM,German,9836663030448,537493,893
sea,Latvia,8480007084969,219526,894
whose,France,6024691657673,694555,895
own,Latvia,6281400726130,217287,896
professor,France,7904599619026,831086,897
worry,German,4760288558316,361269,898
expect,Poland,3318531482462,733095,899
middle,Ukraine,7284038030601,190682,900
street,France,6343118438330,684807,901
question,Russia,3577852478204,567022,902
air,Russia,5688870840112,266043,903
this,France,5261536389825,609890,904
land,USA,4207502557360,469272,905
particularly,France,5519606837254,435409,906
school,Poland,7356283680307,813507,907
stand,Poland,9022507936842,516088,908
husband,Ukraine,2686322660505,162999,909
reflect,German,5560027979950,614583,910
choose,Latvia,5953214832475,260325,911
since,Latvia,5895934437868,890995,912
everybody,USA,1527227526447,553363,913
show,Ukraine,7196290626336,983011,914
child,France,5640459653986,203801,915
question,France,8808025081564,235541,916
which,Russia,2252682819812,962565,917
player,Ukraine,4417643799576,134791,918
summer,Latvia,1758660439902,325472,919
everybody,Poland,3037418332755,852314,920
must,Poland,5829414273031,979112,921
whether,Russia,8310620055626,956988,922
it,Latvia,4143125601706,264651,923
open,German,2079835440278,940659,924
who,France,3864511099114,504256,925
face,USA,7333035171825,842483,926
vote,Poland,4509552658275,950107,927
piece,German,2741482250089,216202,928
wrong,USA,1026737306470,958433,929
world,France,2848814109689,307613,930
wrong,German,8739039858533,298680,931
police,German,1130969342466,267591,932
rather,USA,4853769250602,715082,933
over,Latvia,2263739839248,520856,934
whole,France,5491993581420,142819,935
major,Ukraine,8186097184377,645761,936
color,Poland,4461816108091,622228,937
offer,Ukraine,7953057983619,848183,938
short,Poland,8133275386848,254821,939
do,Poland,6611007930838,867478,940
lose,Ukraine,6065022131653,888025,941
difficult,USA,8346149930974,177733,942
describe,Latvia,5097714787027,119991,943
despite,Latvia,9118772235951,258225,944
protect,France,9311563169984,101600,945
source,France,8863255342762,577578,946
poor,Latvia,6641261197342,658683,947
practice,Poland,6423709293157,448210,948
mention,Poland,6910386498007,911699,949
where,German,5725164973234,278512,950
site,Ukraine,2337521531461,859600,951
research,USA,1854246022399,249710,952
cultural,German,4553418301225,397567,953
lawyer,Russia,6186333469290,398068,954
look,USA,1258174779163,382706,955
still,France,1003488939907,252730,956
give,Poland,1111763736903,272413,957
discuss,Latvia,8584371559213,909913,958
matter,Russia,1113660173873,537422,959
benefit,Poland,4484653044617,289407,960
education,France,9131988108642,898836,961
future,France,1134456147043,600845,962
hope,Ukraine,9271638693777,351595,963
others,Latvia,4769973257076,965940,964
visit,Russia,2577931659083,209802,965
black,Latvia,5806630707889,523691,966
probably,USA,2325622562641,772181,967
brother,Ukraine,8564764276593,586471,968
rule,Russia,4094524543126,212174,969
building,Poland,4649963564833,940302,970
foot,Poland,2246418180765,123707,971
chance,Russia,1558724277950,961420,972
yeah,Ukraine,5155327122669,541913,973
hand,German,1978373771178,344864,974
today,Poland,2750474282608,158163,975
number,Ukraine,6670736964339,885862,976
page,Ukraine,6753111103036,335190,977
region,USA,3271836025151,313613,978
kind,German,6684546188910,407181,979
memory,Poland,7994146354130,938235,980
kid,Russia,4187784083035,946083,981
leader,Latvia,1338524403333,461333,982
pressure,German,2749155961003,956674,983
service,Russia,8450503295345,165000,984
his,France,3596610898093,262770,985
course,France,8215103758702,319199,986
yes,Ukraine,4282822803280,687972,987
use,Russia,6919575965965,906759,988
story,Latvia,1088711231913,669163,989
through,German,6217739378628,267611,990
cup,USA,7095129552995,279473,991
physical,Ukraine,9510584599102,222846,992
because,France,7619950561624,783571,993
exist,USA,3097334436835,960637,994
town,Latvia,3025148549659,826179,995
officer,France,6744282471840,681957,996
well,Latvia,4942237352879,445993,997
white,USA,1567186808357,848799,998
leg,Ukraine,6834001572065,420420,999
dark,German,9319095797171,843497,1000
training,German,7168907247998,681443,1001
